utc_dt_naive,ut_p_kw,ut_pos_ltea_kwh,ut_neg_ltea_kwh,ba_p_kw,ba_pos_ltea_kwh,ba_neg_ltea_kwh,pv_p_kw,pv_pos_ltea_kwh,pv_neg_ltea_kwh
2021-01-10 21:03:54,-62.410000000000004,2383104.69172676,34137.26386549217,227.62,135891.62008154046,189516.75843783084,62.7,658889.5701955439,3.5
2021-01-10 21:03:56,-62.9,2383104.69172676,34137.301961417375,227.35,135891.7577794673,189516.75843783084,62.730000000000004,658889.6081857677,3.5
2021-01-10 21:03:58,-51.71,2383104.69172676,34137.3314021827,227.27,135891.88403854673,189516.75843783084,62.79,658889.6430647995,3.5
2021-01-10 21:04:00,-59.38,2383104.69172676,34137.35695730129,227.43,135891.98647478325,189516.75843783084,62.77,658889.6713366976,3.5
2021-01-10 21:04:02,-60.230000000000004,2383104.69172676,34137.38825501262,229.26,135892.1061450856,189516.75843783084,62.78,658889.7042988183,3.5
2021-01-10 21:04:04,-60.89,2383104.69172676,34137.41799791845,229.36,135892.21916798953,189516.75843783084,62.79,658889.7352515112,3.5
2021-01-10 21:04:06,-62.22,2383104.69172676,34137.46490141096,229.34,135892.3920531186,189516.75843783084,62.81,658889.782596392,3.5
2021-01-10 21:04:08,-60.160000000000004,2383104.69172676,34137.49834414444,229.42000000000002,135892.51949590194,189516.75843783084,62.83,658889.8174931669,3.5
2021-01-10 21:04:10,-62.64,2383104.69172676,34137.529883430885,229.70000000000002,135892.63499033786,189516.75843783084,62.77,658889.8490621491,3.5
2021-01-10 21:04:12,-62.02,2383104.69172676,34137.56795744622,230.01,135892.77482921077,189516.75843783084,62.800000000000004,658889.8872672437,3.5
2021-01-10 21:04:14,-59.17,2383104.69172676,34137.59783618038,230.33,135892.89068729169,189516.75843783084,62.79,658889.9188583526,3.5
2021-01-10 21:04:16,-59.0,2383104.69172676,34137.633701273575,230.41,135893.03075056008,189516.75843783084,62.75,658889.9570082536,3.5
2021-01-10 21:04:18,-58.83,2383104.69172676,34137.666392176085,230.75,135893.15894366108,189516.75843783084,62.730000000000004,658889.9918591529,3.5
2021-01-10 21:04:20,-60.04,2383104.69172676,34137.69503056641,231.16,135893.26948814618,189516.75843783084,62.65,658890.0218270412,3.5
2021-01-10 21:04:22,-60.660000000000004,2383104.69172676,34137.72257843937,233.36,135893.37553112343,189516.75843783084,62.63,658890.0504968817,3.5
2021-01-10 21:04:24,-60.43,2383104.69172676,34137.765240546076,233.73000000000002,135893.53999830608,189516.75843783084,62.550000000000004,658890.0945346836,3.5
2021-01-10 21:04:26,-60.660000000000004,2383104.69172676,34137.80056294984,233.73000000000002,135893.6761002504,189516.75843783084,62.49,658890.1309287092,3.5
2021-01-10 21:04:28,-60.83,2383104.69172676,34137.83435273247,233.79,135893.80598088267,189516.75843783084,62.4,658890.1656068,3.5
2021-01-10 21:04:30,-59.99,2383104.69172676,34137.864493880246,233.78,135893.9233591342,189516.75843783084,62.28,658890.196888092,3.5
2021-01-10 21:04:32,-59.02,2383104.69172676,34137.88804428703,235.33,135894.0154667992,189516.75843783084,62.190000000000005,658890.2213648092,3.5
2021-01-10 21:04:34,-61.800000000000004,2383104.69172676,34137.92731350836,235.69,135894.17028219614,189516.75843783084,62.18,658890.2622552624,3.5
2021-01-10 21:04:36,-63.58,2383104.69172676,34137.9569735838,235.71,135894.2828142851,189516.75843783084,62.04,658890.2918762974,3.5
2021-01-10 21:04:38,-62.480000000000004,2383104.69172676,34138.00365278811,235.79,135894.4589245165,189516.75843783084,61.940000000000005,658890.3381677626,3.5
2021-01-10 21:04:40,-63.58,2383104.69172676,34138.03592734366,235.84,135894.57890675738,189516.75843783084,61.85,658890.36963908,3.5
2021-01-10 21:04:42,-64.01,2383104.69172676,34138.06413839897,236.72,135894.6834667697,189516.75843783084,61.82,658890.3970198643,3.5
2021-01-10 21:04:44,-66.43,2383104.69172676,34138.10720154808,238.55,135894.8411153738,189516.75843783084,61.71,658890.4380263069,3.5
2021-01-10 21:04:46,-65.82000000000001,2383104.69172676,34138.14711184102,238.54,135894.98575591415,189516.75843783084,61.620000000000005,658890.475403174,3.5
2021-01-10 21:04:48,-65.59,2383104.69172676,34138.183782614025,238.53,135895.11827010603,189516.75843783084,61.550000000000004,658890.5096058829,3.5
2021-01-10 21:04:50,-64.06,2383104.69172676,34138.21634070424,238.51,135895.2393540018,189516.75843783084,61.46,658890.5408184006,3.5
2021-01-10 21:04:52,-65.98,2383104.69172676,34138.25617485238,237.53,135895.3829969689,189516.75843783084,61.410000000000004,658890.5778759627,3.5
2021-01-10 21:04:54,-65.94,2383104.69172676,34138.287581356235,237.36,135895.4957656429,189516.75843783084,61.36,658890.6070212133,3.5
2021-01-10 21:04:56,-65.82000000000001,2383104.69172676,34138.3294581478,237.35,135895.64677593173,189516.75843783084,61.31,658890.6460380382,3.5
2021-01-10 21:04:58,-66.07000000000001,2383104.69172676,34138.36253777558,237.36,135895.76635175716,189516.75843783084,61.26,658890.6769048254,3.5
2021-01-10 21:05:00,-65.66,2383104.69172676,34138.39539928942,237.41,135895.88476124548,189516.75843783084,61.21,658890.707439765,3.5
2021-01-10 21:05:02,-63.620000000000005,2383104.69172676,34138.438462860846,235.45000000000002,135896.04193130368,189516.75843783084,61.19,658890.748093036,3.5
2021-01-10 21:05:04,-60.38,2383104.69172676,34138.47078245792,235.44,135896.16715527102,189516.75843783084,61.13,658890.7806104515,3.5
2021-01-10 21:05:06,-62.9,2383104.69172676,34138.50437342508,235.37,135896.29197390587,189516.75843783084,61.09,658890.8130159059,3.5
2021-01-10 21:05:08,-63.77,2383104.69172676,34138.52944821657,235.47,135896.38452992242,189516.75843783084,61.06,658890.8370251914,3.5
2021-01-10 21:05:10,-62.35,2383104.69172676,34138.57095744123,235.39000000000001,135896.53978705598,189516.75843783084,61.01,658890.8772679447,3.5
2021-01-10 21:05:12,-63.79,2383104.69172676,34138.611358003734,236.37,135896.6906523244,189516.75843783084,60.980000000000004,658890.9162862583,3.5
2021-01-10 21:05:14,-64.36,2383104.69172676,34138.63496951219,236.46,135896.7780038542,189516.75843783084,60.96,658890.9388126918,3.5
2021-01-10 21:05:16,-64.64,2383104.69172676,34138.684171156354,236.46,135896.9587536962,189516.75843783084,60.86,658890.9853470775,3.5
2021-01-10 21:05:18,-64.03,2383104.69172676,34138.716428599924,236.5,135897.07814427293,189516.75843783084,60.83,658891.0160582465,3.5
2021-01-10 21:05:20,-64.15,2383104.69172676,34138.75532095852,236.51,135897.22153539804,189516.75843783084,60.800000000000004,658891.0529261953,3.5
2021-01-10 21:05:22,-63.42,2383104.69172676,34138.78947392471,236.41,135897.34868012756,189516.75843783084,60.78,658891.0856151306,3.5
2021-01-10 21:05:24,-63.96,2383104.69172676,34138.8209302392,236.49,135897.46550017517,189516.75843783084,60.7,658891.1156202531,3.5
2021-01-10 21:05:26,-62.96,2383104.69172676,34138.85951850453,236.6,135897.6110843063,189516.75843783084,60.69,658891.1529708436,3.5
2021-01-10 21:05:28,-62.92,2383104.69172676,34138.89135871988,236.53,135897.73045307488,189516.75843783084,60.65,658891.1835765282,3.5
